Iteration: 61000, Loss: 153.67156982421875, Base Loss: 153.67156982421875, Regularisation Term: -0.0, Hessian Trace: -13.241819381713867
Iteration: 61000, Loss: 156.5469970703125, Base Loss: 156.5469970703125, Regularisation Term: -0.0, Hessian Trace: -12.939668655395508
Iteration: 62000, Loss: 148.98886108398438, Base Loss: 148.98886108398438, Regularisation Term: -0.0, Hessian Trace: -13.369088172912598
Iteration: 62000, Loss: 156.38900756835938, Base Loss: 156.38900756835938, Regularisation Term: -0.0, Hessian Trace: -14.314016342163086
Iteration: 63000, Loss: 156.8206787109375, Base Loss: 156.8206787109375, Regularisation Term: -0.0, Hessian Trace: -12.798075675964355
Iteration: 63000, Loss: 156.06263732910156, Base Loss: 156.06263732910156, Regularisation Term: -0.0, Hessian Trace: -13.93757152557373
Iteration: 64000, Loss: 157.0878143310547, Base Loss: 157.0878143310547, Regularisation Term: -0.0, Hessian Trace: -16.670326232910156
Iteration: 64000, Loss: 156.44471740722656, Base Loss: 156.44471740722656, Regularisation Term: -0.0, Hessian Trace: -16.740755081176758
Iteration: 65000, Loss: 161.68919372558594, Base Loss: 161.68919372558594, Regularisation Term: -0.0, Hessian Trace: -15.795549392700195
Iteration: 65000, Loss: 155.39085388183594, Base Loss: 155.39085388183594, Regularisation Term: -0.0, Hessian Trace: -17.25642204284668
Iteration: 66000, Loss: 148.66249084472656, Base Loss: 148.66249084472656, Regularisation Term: -0.0, Hessian Trace: -18.003522872924805
Iteration: 66000, Loss: 156.0878448486328, Base Loss: 156.0878448486328, Regularisation Term: -0.0, Hessian Trace: -17.601293563842773
Iteration: 67000, Loss: 163.86009216308594, Base Loss: 163.86009216308594, Regularisation Term: -0.0, Hessian Trace: -17.923736572265625
Iteration: 67000, Loss: 155.6990966796875, Base Loss: 155.6990966796875, Regularisation Term: -0.0, Hessian Trace: -16.55643653869629
Iteration: 68000, Loss: 158.8612518310547, Base Loss: 158.8612518310547, Regularisation Term: -0.0, Hessian Trace: -16.561922073364258
Iteration: 68000, Loss: 155.46343994140625, Base Loss: 155.46343994140625, Regularisation Term: -0.0, Hessian Trace: -15.83924674987793
Iteration: 69000, Loss: 154.33721923828125, Base Loss: 154.33721923828125, Regularisation Term: -0.0, Hessian Trace: -12.020612716674805
Iteration: 69000, Loss: 155.31227111816406, Base Loss: 155.31227111816406, Regularisation Term: -0.0, Hessian Trace: -14.415155410766602
Iteration: 70000, Loss: 153.98580932617188, Base Loss: 153.98580932617188, Regularisation Term: -0.0, Hessian Trace: -14.64061164855957
Iteration: 70000, Loss: 155.47398376464844, Base Loss: 155.47398376464844, Regularisation Term: -0.0, Hessian Trace: -15.680130004882812
Iteration: 71000, Loss: 157.0938262939453, Base Loss: 157.0938262939453, Regularisation Term: -0.0, Hessian Trace: -15.110818862915039
Iteration: 71000, Loss: 155.20777893066406, Base Loss: 155.20777893066406, Regularisation Term: -0.0, Hessian Trace: -16.477706909179688
Iteration: 72000, Loss: 156.06568908691406, Base Loss: 156.06568908691406, Regularisation Term: -0.0, Hessian Trace: -16.256973266601562
Iteration: 72000, Loss: 154.63015747070312, Base Loss: 154.63015747070312, Regularisation Term: -0.0, Hessian Trace: -17.202455520629883
Iteration: 73000, Loss: 158.12864685058594, Base Loss: 158.12864685058594, Regularisation Term: -0.0, Hessian Trace: -18.984298706054688
Iteration: 73000, Loss: 154.89508056640625, Base Loss: 154.89508056640625, Regularisation Term: -0.0, Hessian Trace: -18.141626358032227
Iteration: 74000, Loss: 151.88375854492188, Base Loss: 151.88375854492188, Regularisation Term: -0.0, Hessian Trace: -20.518312454223633
Iteration: 74000, Loss: 155.4213409423828, Base Loss: 155.4213409423828, Regularisation Term: -0.0, Hessian Trace: -19.917110443115234
Iteration: 75000, Loss: 154.84329223632812, Base Loss: 154.84329223632812, Regularisation Term: -0.0, Hessian Trace: -17.08172607421875
Iteration: 75000, Loss: 154.3311767578125, Base Loss: 154.3311767578125, Regularisation Term: -0.0, Hessian Trace: -18.470016479492188
Iteration: 76000, Loss: 157.87054443359375, Base Loss: 157.87054443359375, Regularisation Term: -0.0, Hessian Trace: -20.743667602539062
Iteration: 76000, Loss: 154.61241149902344, Base Loss: 154.61241149902344, Regularisation Term: -0.0, Hessian Trace: -20.44797134399414
Iteration: 77000, Loss: 159.03390502929688, Base Loss: 159.03390502929688, Regularisation Term: -0.0, Hessian Trace: -15.582947731018066
Iteration: 77000, Loss: 154.82327270507812, Base Loss: 154.82327270507812, Regularisation Term: -0.0, Hessian Trace: -15.535155296325684
Iteration: 78000, Loss: 159.18826293945312, Base Loss: 159.18826293945312, Regularisation Term: -0.0, Hessian Trace: -21.23941421508789
Iteration: 78000, Loss: 154.45523071289062, Base Loss: 154.45523071289062, Regularisation Term: -0.0, Hessian Trace: -20.119142532348633
Iteration: 79000, Loss: 153.67994689941406, Base Loss: 153.67994689941406, Regularisation Term: -0.0, Hessian Trace: -17.46489715576172
Iteration: 79000, Loss: 154.34124755859375, Base Loss: 154.34124755859375, Regularisation Term: -0.0, Hessian Trace: -16.860755920410156
Iteration: 80000, Loss: 153.54931640625, Base Loss: 153.54931640625, Regularisation Term: -0.0, Hessian Trace: -20.52571678161621
Iteration: 80000, Loss: 154.2718963623047, Base Loss: 154.2718963623047, Regularisation Term: -0.0, Hessian Trace: -20.746585845947266
Iteration: 81000, Loss: 158.7866973876953, Base Loss: 158.7866973876953, Regularisation Term: -0.0, Hessian Trace: -18.910125732421875
Iteration: 81000, Loss: 154.47296142578125, Base Loss: 154.47296142578125, Regularisation Term: -0.0, Hessian Trace: -17.97440528869629
Iteration: 82000, Loss: 156.29115295410156, Base Loss: 156.29115295410156, Regularisation Term: -0.0, Hessian Trace: -20.327939987182617
Iteration: 82000, Loss: 154.2325897216797, Base Loss: 154.2325897216797, Regularisation Term: -0.0, Hessian Trace: -20.68033218383789
Iteration: 83000, Loss: 161.71914672851562, Base Loss: 161.71914672851562, Regularisation Term: -0.0, Hessian Trace: -20.69527244567871
Iteration: 83000, Loss: 154.418212890625, Base Loss: 154.418212890625, Regularisation Term: -0.0, Hessian Trace: -22.47062110900879
Iteration: 84000, Loss: 153.12368774414062, Base Loss: 153.12368774414062, Regularisation Term: -0.0, Hessian Trace: -25.139835357666016
Iteration: 84000, Loss: 154.31617736816406, Base Loss: 154.31617736816406, Regularisation Term: -0.0, Hessian Trace: -23.443492889404297
Iteration: 85000, Loss: 150.17349243164062, Base Loss: 150.17349243164062, Regularisation Term: -0.0, Hessian Trace: -18.813247680664062
Iteration: 85000, Loss: 154.03370666503906, Base Loss: 154.03370666503906, Regularisation Term: -0.0, Hessian Trace: -20.86115074157715
Iteration: 86000, Loss: 153.42422485351562, Base Loss: 153.42422485351562, Regularisation Term: -0.0, Hessian Trace: -23.604646682739258
Iteration: 86000, Loss: 153.9835205078125, Base Loss: 153.9835205078125, Regularisation Term: -0.0, Hessian Trace: -23.48787498474121
Iteration: 87000, Loss: 155.528076171875, Base Loss: 155.528076171875, Regularisation Term: -0.0, Hessian Trace: -22.114643096923828
Iteration: 87000, Loss: 153.57669067382812, Base Loss: 153.57669067382812, Regularisation Term: -0.0, Hessian Trace: -22.685686111450195
Iteration: 88000, Loss: 153.5223388671875, Base Loss: 153.5223388671875, Regularisation Term: -0.0, Hessian Trace: -20.498046875
Iteration: 88000, Loss: 154.51495361328125, Base Loss: 154.51495361328125, Regularisation Term: -0.0, Hessian Trace: -19.906143188476562
Iteration: 89000, Loss: 151.92181396484375, Base Loss: 151.92181396484375, Regularisation Term: -0.0, Hessian Trace: -18.797704696655273
Iteration: 89000, Loss: 153.87692260742188, Base Loss: 153.87692260742188, Regularisation Term: -0.0, Hessian Trace: -19.72618293762207
Iteration: 90000, Loss: 148.7852325439453, Base Loss: 148.7852325439453, Regularisation Term: -0.0, Hessian Trace: -23.312780380249023
Iteration: 90000, Loss: 153.6552734375, Base Loss: 153.6552734375, Regularisation Term: -0.0, Hessian Trace: -24.52303695678711
Iteration: 91000, Loss: 155.74501037597656, Base Loss: 155.74501037597656, Regularisation Term: -0.0, Hessian Trace: -22.99007797241211
Iteration: 91000, Loss: 153.38829040527344, Base Loss: 153.38829040527344, Regularisation Term: -0.0, Hessian Trace: -22.710437774658203
Iteration: 92000, Loss: 151.20237731933594, Base Loss: 151.20237731933594, Regularisation Term: -0.0, Hessian Trace: -25.743934631347656
Iteration: 92000, Loss: 153.5513916015625, Base Loss: 153.5513916015625, Regularisation Term: -0.0, Hessian Trace: -26.366647720336914
Iteration: 93000, Loss: 152.41981506347656, Base Loss: 152.41981506347656, Regularisation Term: -0.0, Hessian Trace: -21.463762283325195
Iteration: 93000, Loss: 153.62127685546875, Base Loss: 153.62127685546875, Regularisation Term: -0.0, Hessian Trace: -21.663265228271484
Iteration: 94000, Loss: 158.7528076171875, Base Loss: 158.7528076171875, Regularisation Term: -0.0, Hessian Trace: -21.118032455444336
Iteration: 94000, Loss: 153.13555908203125, Base Loss: 153.13555908203125, Regularisation Term: -0.0, Hessian Trace: -18.78321647644043
Iteration: 95000, Loss: 157.88978576660156, Base Loss: 157.88978576660156, Regularisation Term: -0.0, Hessian Trace: -24.555509567260742
Iteration: 95000, Loss: 153.68202209472656, Base Loss: 153.68202209472656, Regularisation Term: -0.0, Hessian Trace: -24.655189514160156
Iteration: 96000, Loss: 148.2714080810547, Base Loss: 148.2714080810547, Regularisation Term: -0.0, Hessian Trace: -24.33413314819336
Iteration: 96000, Loss: 153.46658325195312, Base Loss: 153.46658325195312, Regularisation Term: -0.0, Hessian Trace: -24.667346954345703
Iteration: 97000, Loss: 141.32142639160156, Base Loss: 141.32142639160156, Regularisation Term: -0.0, Hessian Trace: -22.06869125366211
Iteration: 97000, Loss: 153.4326629638672, Base Loss: 153.4326629638672, Regularisation Term: -0.0, Hessian Trace: -22.545255661010742
Iteration: 98000, Loss: 156.13037109375, Base Loss: 156.13037109375, Regularisation Term: -0.0, Hessian Trace: -20.613239288330078
Iteration: 98000, Loss: 153.38067626953125, Base Loss: 153.38067626953125, Regularisation Term: -0.0, Hessian Trace: -18.11562156677246
Iteration: 99000, Loss: 158.6381378173828, Base Loss: 158.6381378173828, Regularisation Term: -0.0, Hessian Trace: -28.77638816833496
Iteration: 99000, Loss: 153.2636260986328, Base Loss: 153.2636260986328, Regularisation Term: -0.0, Hessian Trace: -25.597606658935547
Iteration: 100000, Loss: 152.6564483642578, Base Loss: 152.6564483642578, Regularisation Term: -0.0, Hessian Trace: -23.726186752319336
Iteration: 100000, Loss: 153.3590545654297, Base Loss: 153.3590545654297, Regularisation Term: -0.0, Hessian Trace: -22.667285919189453
Iteration: 101000, Loss: 146.87744140625, Base Loss: 146.87744140625, Regularisation Term: -0.0, Hessian Trace: -26.314165115356445
Iteration: 101000, Loss: 153.43170166015625, Base Loss: 153.43170166015625, Regularisation Term: -0.0, Hessian Trace: -27.74601173400879
Iteration: 102000, Loss: 152.24453735351562, Base Loss: 152.24453735351562, Regularisation Term: -0.0, Hessian Trace: -26.600553512573242
Iteration: 102000, Loss: 153.3629608154297, Base Loss: 153.3629608154297, Regularisation Term: -0.0, Hessian Trace: -26.962064743041992
Iteration: 103000, Loss: 152.54498291015625, Base Loss: 152.54498291015625, Regularisation Term: -0.0, Hessian Trace: -22.195640563964844
Iteration: 103000, Loss: 152.700927734375, Base Loss: 152.700927734375, Regularisation Term: -0.0, Hessian Trace: -23.727558135986328
Iteration: 104000, Loss: 147.84495544433594, Base Loss: 147.84495544433594, Regularisation Term: -0.0, Hessian Trace: -30.95901107788086
Iteration: 104000, Loss: 153.01686096191406, Base Loss: 153.01686096191406, Regularisation Term: -0.0, Hessian Trace: -30.336687088012695
